,id,период,минут,вероятность,прибыль,выручка,покупательская_активность,тип_сервиса,разрешить_сообщать,маркет_актив_6_мес,маркет_актив_тек_мес,длительность,акционные_покупки,популярная_категория,средний_просмотр_категорий_за_визит,неоплаченные_продукты_штук_квартал,ошибка_сервиса,страниц_за_визит
0,215348,текущий_месяц,14,,0.98,3293.1,Снизилась,премиум,да,3.4,5,121,0.0,Товары для детей,6,2,1,5
1,215348,предыдущий_месяц,13,,0.98,0.0,Снизилась,премиум,да,3.4,5,121,0.0,Товары для детей,6,2,1,5
2,215349,текущий_месяц,10,1.0,4.16,4971.6,Снизилась,премиум,да,4.4,4,819,0.75,Товары для детей,4,4,2,5
3,215349,предыдущий_месяц,12,1.0,4.16,4472.0,Снизилась,премиум,да,4.4,4,819,0.75,Товары для детей,4,4,2,5
4,215349,предыдущий_месяц,12,1.0,4.16,5216.0,Снизилась,премиум,да,4.4,4,819,0.75,Товары для детей,4,4,2,5
5,215350,текущий_месяц,13,0.12,3.13,5058.4,Снизилась,стандарт,нет,4.9,3,539,0.14,Домашний текстиль,5,2,1,5
6,215350,предыдущий_месяц,8,0.12,3.13,4826.0,Снизилась,стандарт,нет,4.9,3,539,0.14,Домашний текстиль,5,2,1,5
7,215350,предыдущий_месяц,8,0.12,3.13,5457.5,Снизилась,стандарт,нет,4.9,3,539,0.14,Домашний текстиль,5,2,1,5
8,215351,текущий_месяц,13,0.97,4.87,6610.4,Снизилась,стандарт,да,3.2,5,896,0.99,Товары для детей,5,0,6,4
9,215351,предыдущий_месяц,11,0.97,4.87,6158.0,Снизилась,стандарт,да,3.2,5,896,0.99,Товары для детей,5,0,6,4
10,215351,предыдущий_месяц,11,0.97,4.87,4793.0,Снизилась,стандарт,да,3.2,5,896,0.99,Товары для детей,5,0,6,4
11,215352,текущий_месяц,11,0.9,4.21,5872.5,Снизилась,стандарт,нет,5.1,3,1064,0.94,Товары для детей,3,2,3,2
12,215352,предыдущий_месяц,8,0.9,4.21,5807.5,Снизилась,стандарт,нет,5.1,3,1064,0.94,Товары для детей,3,2,3,2
13,215352,предыдущий_месяц,8,0.9,4.21,4594.0,Снизилась,стандарт,нет,5.1,3,1064,0.94,Товары для детей,3,2,3,2
14,215353,предыдущий_месяц,10,1.0,3.95,4738.5,Снизилась,стандарт,да,3.3,4,762,0.26,Домашний текстиль,4,1,1,4
15,215353,предыдущий_месяц,10,1.0,3.95,5124.0,Снизилась,стандарт,да,3.3,4,762,0.26,Домашний текстиль,4,1,1,4
16,215353,текущий_месяц,10,1.0,3.95,5388.5,Снизилась,стандарт,да,3.3,4,762,0.26,Домашний текстиль,4,1,1,4
17,215354,предыдущий_месяц,11,0.26,3.62,5685.0,Снизилась,стандарт,да,5.1,3,431,0.23,Косметика и аксессуары,2,3,7,2
18,215354,предыдущий_месяц,11,0.26,3.62,4503.0,Снизилась,стандарт,да,5.1,3,431,0.23,Косметика и аксессуары,2,3,7,2
19,215354,текущий_месяц,12,0.26,3.62,5869.6,Снизилась,стандарт,да,5.1,3,431,0.23,Косметика и аксессуары,2,3,7,2
20,215355,предыдущий_месяц,12,0.0,5.26,4749.0,Снизилась,стандарт,нет,4.7,4,284,0.17,Товары для детей,5,1,6,4
21,215355,предыдущий_месяц,12,0.0,5.26,3263.0,Снизилась,стандарт,нет,4.7,4,284,0.17,Товары для детей,5,1,6,4
22,215355,текущий_месяц,10,0.0,5.26,3772.6,Снизилась,стандарт,нет,4.7,4,284,0.17,Товары для детей,5,1,6,4
23,215356,предыдущий_месяц,6,0.83,4.93,4433.0,Снизилась,стандарт,да,4.2,4,192,0.14,Косметика и аксессуары,2,2,1,3
